Autokennzeichen;Stadt/Ort;Landkreis/Gemeinde;Bundesland
NEC*;Neustadt bei Coburg;Landkreis Coburg;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
NEN*;Neunburg vorm Wald;Landkreis Schwandorf;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
NES;Bad Neustadt an der Saale;Landkreis Rhön-Grabfeld;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
NEW;Neustadt an der Waldnaab;Landkreis Neustadt an der Waldnaab;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
NF;Nordfriesland;Kreis Nordfriesland;"Schleswig-Holstein <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Schleswig-Holstein.svg"" class=""flagfull"" alt=""Schleswig-Holstein"" />"
NH*;Neuhaus am Rennweg;Landkreis Sonneberg;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
NI;Nienburg/Weser;Landkreis Nienburg/Weser;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
NK;Neunkirchen;Landkreis Neunkirchen;"Saarland <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Saarland.svg"" class=""flagfull"" alt=""Saarland"" />"
NL;Land Niedersachsen;Landesregierung und Landtag;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
NM;Neumarkt in der Oberpfalz;Landkreis Neumarkt in der Oberpfalz;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
NMB*;Naumburg (Saale);Burgenlandkreis;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
NMS;Neumünster;Stadt Neumünster;"Schleswig-Holstein <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Schleswig-Holstein.svg"" class=""flagfull"" alt=""Schleswig-Holstein"" />"
NÖ*;Nördlingen;Landkreis Donau-Ries;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
NOH;Nordhorn;Landkreis Grafschaft Bentheim;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
NOL;Niederschlesische Oberlausitz;Landkreis Görlitz;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
NOM;Northeim;Landkreis Northeim;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
NOR*;Norden;Landkreis Aurich;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
NP*;Neuruppin;Landkreis Ostprignitz-Ruppin;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
NR;Neuwied am Rhein;Landkreis & Stadt Neuwied;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
NRW;Land Nordrhein-Westfalen;Landesregierung, Landtag und Polizei;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
NU;Neu-Ulm;Landkreis Neu-Ulm;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
NVP**;Nordvorpommern;Landkreis Vorpommern-Rügen ohne Stralsund;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
NW;Neustadt an der Weinstraße;Stadt Neustadt an der Weinstraße;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
NWM;Nordwestmecklenburg;Landkreis Nordwestmecklenburg ohne Wismar;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
NY*;Niesky;Landkreis Görlitz;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
NZ*;Neustrelitz;Landkreis Mecklenburgische Seenplatte ohne Neubrandenburg;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
OA;Oberallgäu;Landkreis Oberallgäu;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
OAL;Ostallgäu;Landkreis Ostallgäu;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
OB;Oberhausen;Stadt Oberhausen;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
OBG*;Osterburg (Altmark);Landkreis Stendal;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
OC*;Oschersleben (Bode);Landkreis Börde;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
OCH*;Ochsenfurt;Landkreis Würzburg;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
OD;Bad Oldesloe;Kreis Stormarn;"Schleswig-Holstein <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Schleswig-Holstein.svg"" class=""flagfull"" alt=""Schleswig-Holstein"" />"
OE;Olpe;Kreis Olpe;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
OF;Offenbach;Landkreis Offenbach & Stadt Offenbach am Main;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
OG;Offenburg;Ortenaukreis;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
OH;Ostholstein;Kreis Ostholstein;"Schleswig-Holstein <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Schleswig-Holstein.svg"" class=""flagfull"" alt=""Schleswig-Holstein"" />"
OHA;Osterode am Harz;Landkreis Osterode am Harz;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
OHV;Oberhavel;Landkreis Oberhavel;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
OHZ;Osterholz-Scharmbeck;Landkreis Osterholz;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
OK;Ohrekreis;Landkreis Börde;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
OL;Oldenburg;Stadt Oldenburg & Oldenburg;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
OPR;Ostprignitz-Ruppin;Landkreis Ostprignitz-Ruppin;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
OS;Osnabrück;Landkreis & Stadt Osnabrück;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
OSL;Oberspreewald-Lausitz;Landkreis Oberspreewald-Lausitz;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
OVI*;Oberviechtach;Landkreis Schwandorf;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
OVL;Obervogtland;Vogtlandkreis;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
OZ*;Oschatz;Landkreis Nordsachsen;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
P;Potsdam;Stadt Potsdam;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
PA;Passau;Landkreis & Stadt Passau;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
PAF;Pfaffenhofen an der Ilm;Landkreis Pfaffenhofen an der Ilm;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
PAN;Pfarrkirchen;Landkreis Rottal-Inn;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
PAR*;Parsberg;Landkreise Kelheim & Neumarkt in der Oberpfalz;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
PB;Paderborn;Kreis Paderborn;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
PCH*;Parchim;Landkreis Ludwigslust-Parchim;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
PE;Peine;Landkreis Peine;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
PEG*;Pegnitz;Landkreise Bayreuth, Forchheim & Nürnberger Land;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
PF;Pforzheim;Stadt Pforzheim;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
PI;Pinneberg;Kreis Pinneberg;"Schleswig-Holstein <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Schleswig-Holstein.svg"" class=""flagfull"" alt=""Schleswig-Holstein"" />"
PIR;Pirna;Landkreis Sächsische Schweiz-Osterzgebirge;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
PL*;Plauen;Vogtlandkreis;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
PLÖ;Plön;Kreis Plön;"Schleswig-Holstein <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Schleswig-Holstein.svg"" class=""flagfull"" alt=""Schleswig-Holstein"" />"
PM;Potsdam-Mittelmark;Landkreis Potsdam-Mittelmark;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
PN*;Pößneck;Saale-Orla-Kreis;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
PR;Prignitz;Landkreis Prignitz;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
PRÜ*;Prüm;Eifelkreis Bitburg-Prüm;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
PS;Pirmasens;Landkreis Südwestpfalz & Stadt Pirmasens;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
PW*;Pasewalk;Landkreis Vorpommern-Greifswald ohne Greifswald;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
QFT*;Querfurt;Saalekreis;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
QLB*;Quedlinburg;Landkreis Harz;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
R;Regensburg;Stadt & Landkreis Regensburg;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
RA;Rastatt;Landkreis Rastatt;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
RC*;Reichenbach im Vogtland;Vogtlandkreis;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
RD;Rendsburg;Kreis Rendsburg-Eckernförde;"Schleswig-Holstein <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Schleswig-Holstein.svg"" class=""flagfull"" alt=""Schleswig-Holstein"" />"
RDG*;Ribnitz-Damgarten*;Landkreis Vorpommern-Rügen ohne Stralsund;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
RE;Recklinghausen;Kreis Recklinghausen;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
REG;Regen;Landkreis Regen;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
REH*;Rehau;Landkreis Wunsiedel im Fichtelgebirge;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
RG;Riesa-Großenhain;Landkreis Meißen;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
RH;Roth;Landkreis Roth;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
RI;Rinteln;Landkreis Schaumburg;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
RID*;Riedenburg;Landkreis Kelheim;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
RIE*;Riesa;Landkreis Meißen;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
RL*;Rochlitz;Landkreis Mittelsachsen;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
RM*;Röbel/Müritz;Landkreis Mecklenburgische Seenplatte ohne Neubrandenburg;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
RO;Rosenheim;Landkreis & Stadt Rosenheim;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
ROD*;Roding;Landkreise Cham & Schwandorf;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
ROF*;Rotenburg an der Fulda;Landkreis Hersfeld-Rotenburg;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
ROK*;Rockenhausen;Donnersbergkreis;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
ROL*;Rottenburg an der Laaber;Landkreis Kelheim;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
ROS*;Rostock;Landkreis Rostock;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
ROT*;Rothenburg ob der Tauber;Landkreis Ansbach;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
ROW;Rotenburg an der Wümme;Landkreis Rotenburg (Wümme);"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
RP;Rhein-Pfalz;Rhein-Pfalz-Kreis;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
RPL;Land Rheinland-Pfalz;Landesregierung, Landtag und Polizei;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
RS;Remscheid;Stadt Remscheid;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
RSL*;Roßlau (Elbe);Stadt Dessau-Roßlau;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
RT;Reutlingen;Landkreis Reutlingen;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
RU*;Rudolstadt;Landkreis Saalfeld-Rudolstadt;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
RÜD;Rüdesheim am Rhein;Rheingau-Taunus-Kreis;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
RÜG**;Rügen;Landkreis Vorpommern-Rügen;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
RV;Ravensburg;Landkreis Ravensburg;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
RW;Rottweil;Landkreis Rottweil;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
RZ;Ratzeburg;Kreis Herzogtum Lauenburg;"Schleswig-Holstein <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Schleswig-Holstein.svg"" class=""flagfull"" alt=""Schleswig-Holstein"" />"
S;Stuttgart;Stadt Stuttgart;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
SAB*;Saarburg;Landkreis Trier-Saarburg;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
SAD;Schwandorf;Landkreis Schwandorf;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
SAL;Land Saarland;Landesregierung, Landtag und Polizei;"Saarland <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Saarland.svg"" class=""flagfull"" alt=""Saarland"" />"
SAN*;Stadtsteinach;Landkreise Kronach & Kulmbach;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
SAW;Salzwedel;Altmarkkreis Salzwedel;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
SB;Saarbrücken;Regionalverband Saarbrücken ohne Völklingen;"Saarland <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Saarland.svg"" class=""flagfull"" alt=""Saarland"" />"
SBG*;Strasburg;Landkreis Vorpommern-Greifswald;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
SBK*;Schönebeck (Elbe);Salzlandkreis;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
SC;Schwabach;Stadt Schwabach;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
SCZ*;Schleiz;Saale-Orla-Kreis;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
SDH*;Sondershausen;Kyffhäuserkreis;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
SDL;Stendal;Landkreis Stendal;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
SE;Bad Segeberg;Kreis Segeberg;"Schleswig-Holstein <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Schleswig-Holstein.svg"" class=""flagfull"" alt=""Schleswig-Holstein"" />"
SEB*;Sebnitz;Landkreis Sächsische Schweiz-Osterzgebirge;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
SEE*;Seelow;Landkreis Märkisch-Oderland;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
SEF*;Scheinfeld;Landkreis Neustadt an der Aisch-Bad Windsheim;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
SEL*;Selb;Landkreis Wunsiedel im Fichtelgebirge;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
SFB*;Senftenberg;Landkreis Oberspreewald-Lausitz;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
SFT*;Staßfurt;Salzlandkreis;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
SG;Solingen;Stadt Solingen;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
SGH*;Sangerhausen;Landkreis Mansfeld-Südharz;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
SH;Land Schleswig-Holstein;Landesregierung, Landtag und Polizei;"Schleswig-Holstein <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Schleswig-Holstein.svg"" class=""flagfull"" alt=""Schleswig-Holstein"" />"
SHA;Schwäbisch Hall;Landkreis Schwäbisch Hall;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
SHG;Schaumburg oder Stadthagen;Landkreis Schaumburg;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
SHK;Saale-Holzland-Kreis;Saale-Holzland-Kreis;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
